latitude,longitude,elevation,distance,hike_city,gain,loss,pace_dist,pace_gain,FME,facilities
43.8429,10.50224,19,0,Lucca,0,0,3,300,0:00,AH RBG T
43.8428,10.50235,19,0.014,,0,0,3,300,0:00,
43.84277,10.50299,19,0.052,,0,0,3,300,0:01,
43.84266,10.50306,19,0.013,,0,0,3,300,0:00,
43.84265,10.50361,18.5,0.044,,0,-0.5,3,300,0:00,
43.84268,10.50391,18,0.025,,0,-0.5,3,300,0:00,
43.84268,10.5043,18,0.031,,0,0,3,300,0:00,
43.84263,10.50473,18,0.035,,0,0,3,300,0:00,
43.84259,10.5054,17,0.054,,0,-1,3,300,0:01,
43.84254,10.50608,17,0.055,,0,0,3,300,0:01,
43.8425,10.50675,17,0.054,,0,0,3,300,0:01,
43.84249,10.50719,16.1,0.036,,0,-0.9,3,300,0:00,
43.84245,10.50786,16,0.054,,0,-0.1,3,300,0:01,
43.84254,10.50821,16,0.03,,0,0,3,300,0:00,
43.84259,10.50877,16,0.045,,0,0,3,300,0:00,
43.84273,10.5098,17,0.084,,1,0,3,300,0:01,
43.84279,10.51047,16,0.055,,0,-1,3,300,0:01,
43.84284,10.51113,16,0.053,,0,0,3,300,0:01,
43.84292,10.51189,16,0.062,,0,0,3,300,0:01,
43.84299,10.51265,16,0.061,,0,0,3,300,0:01,
43.84307,10.51341,16,0.062,,0,0,3,300,0:01,
43.84312,10.51393,16,0.042,,0,0,3,300,0:00,
43.84298,10.51472,18.3,0.066,,2.3,0,3,300,0:01,
43.84284,10.5155,16.6,0.064,,0,-1.7,3,300,0:01,
43.84271,10.51624,16,0.062,,0,-0.6,3,300,0:01,
43.84258,10.51697,16,0.06,,0,0,3,300,0:01,
43.84244,10.51771,16,0.062,,0,0,3,300,0:01,
43.84231,10.51844,16,0.06,,0,0,3,300,0:01,
43.84236,10.5186,16,0.014,,0,0,3,300,0:00,
43.84287,10.51861,16,0.057,,0,0,3,300,0:01,
43.84338,10.51863,16,0.056,,0,0,3,300,0:01,
43.84389,10.51864,16,0.057,,0,0,3,300,0:01,
43.8441,10.51984,16,0.099,,0,0,3,300,0:01,
43.8442,10.52067,16,0.068,,0,0,3,300,0:01,
43.84425,10.52115,16,0.039,,0,0,3,300,0:00,
43.84434,10.52182,16,0.055,,0,0,3,300,0:01,
43.84443,10.52249,16,0.055,,0,0,3,300,0:01,
43.84452,10.52315,16,0.054,,0,0,3,300,0:01,
43.84461,10.52382,16.4,0.054,,0.4,0,3,300,0:01,
43.84469,10.52449,16.9,0.055,,0.5,0,3,300,0:01,
43.84478,10.52516,17,0.055,,0.1,0,3,300,0:01,
43.84487,10.52582,17,0.054,,0,0,3,300,0:01,
43.84496,10.52649,17,0.055,,0,0,3,300,0:01,
43.84505,10.52716,17,0.054,,0,0,3,300,0:01,
43.84504,10.52762,17,0.037,,0,0,3,300,0:00,
43.84501,10.5283,17,0.055,,0,0,3,300,0:01,
43.84497,10.52897,17,0.054,,0,0,3,300,0:01,
43.8449,10.52989,17,0.075,,0,0,3,300,0:01,
43.84482,10.5308,17,0.073,,0,0,3,300,0:01,
43.84478,10.53148,17,0.055,,0,0,3,300,0:01,
43.84474,10.53216,17,0.055,,0,0,3,300,0:01,
43.8447,10.53284,17,0.055,,0,0,3,300,0:01,
43.84467,10.53352,17,0.055,,0,0,3,300,0:01,
43.84463,10.5342,17,0.055,,0,0,3,300,0:01,
43.84459,10.53488,17,0.054,,0,0,3,300,0:01,
43.84455,10.53556,17,0.055,,0,0,3,300,0:01,
43.8445,10.53599,17,0.035,,0,0,3,300,0:00,
43.84437,10.53616,17,0.02,,0,0,3,300,0:00,
43.8443,10.53627,17,0.012,,0,0,3,300,0:00,
43.84417,10.53652,17,0.025,,0,0,3,300,0:00,
43.84383,10.53643,16.8,0.038,,0,-0.2,3,300,0:00,
43.84338,10.53627,16,0.052,,0,-0.8,3,300,0:01,
43.84327,10.53648,16,0.021,,0,0,3,300,0:00,
43.84326,10.53703,16,0.044,,0,0,3,300,0:00,
43.8432,10.53728,16,0.021,,0,0,3,300,0:00,
43.84307,10.53782,16,0.046,,0,0,3,300,0:00,
43.84289,10.53871,16.1,0.074,,0.1,0,3,300,0:01,
43.84271,10.5396,16.8,0.074,,0.7,0,3,300,0:01,
43.84252,10.54047,17,0.074,,0.2,0,3,300,0:01,
